symbol,days_total,up_1pct_days,up_5pct_days,up_10pct_days,start_date,end_date,last_price_usd,min_invest_jpy,up1_ratio
PLTR,248,114,27,2,2024-12-03,2025-11-28,168.45,25267,0.4596774193548387
HOOD,248,114,35,6,2024-12-03,2025-11-28,128.49,19274,0.4596774193548387
MU,248,104,24,2,2024-12-03,2025-11-28,236.48,35472,0.41935483870967744
WDC,248,101,20,3,2024-12-03,2025-11-28,163.33,24500,0.40725806451612906
TSLA,248,100,24,2,2024-12-03,2025-11-28,430.17,64526,0.4032258064516129
ANET,248,99,17,1,2024-12-03,2025-11-28,130.68,19602,0.39919354838709675
UAL,248,97,13,3,2024-12-03,2025-11-28,101.96,15294,0.3911290322580645
SMCI,248,97,37,11,2024-12-03,2025-11-28,33.85,5077,0.3911290322580645
LRCX,248,97,10,1,2024-12-03,2025-11-28,156.0,23400,0.3911290322580645
COIN,248,96,27,4,2024-12-03,2025-11-28,272.82,40923,0.3870967741935484
AVGO,248,95,16,4,2024-12-03,2025-11-28,402.96,60444,0.38306451612903225
VST,248,94,22,2,2024-12-03,2025-11-28,178.86,26829,0.3790322580645161
WBD,248,93,11,5,2024-12-03,2025-11-28,24.0,3600,0.375
AMD,248,92,15,3,2024-12-03,2025-11-28,217.53,32629,0.3709677419354839
ALB,248,92,22,1,2024-12-03,2025-11-28,129.99,19499,0.3709677419354839
STX,248,92,14,4,2024-12-03,2025-11-28,276.69,41504,0.3709677419354839
APA,248,91,11,1,2024-12-03,2025-11-28,24.97,3745,0.36693548387096775
CEG,248,91,12,3,2024-12-03,2025-11-28,364.36,54654,0.36693548387096775
NEM,248,91,8,0,2024-12-03,2025-11-28,90.73,13610,0.36693548387096775
DASH,248,91,3,1,2024-12-03,2025-11-28,198.37,29755,0.36693548387096775
IBKR,248,90,6,1,2024-12-03,2025-11-28,65.02,9753,0.3629032258064516
CRWD,248,90,9,2,2024-12-03,2025-11-28,509.16,76374,0.3629032258064516
NVDA,248,90,8,1,2024-12-03,2025-11-28,177.0,26550,0.3629032258064516
EQT,248,90,4,0,2024-12-03,2025-11-28,60.86,9129,0.3629032258064516
FSLR,248,89,20,5,2024-12-03,2025-11-28,272.92,40938,0.3588709677419355
NRG,248,89,9,3,2024-12-03,2025-11-28,169.49,25424,0.3588709677419355
XYZ,248,89,13,1,2024-12-03,2025-11-28,66.8,10020,0.3588709677419355
AMAT,248,89,6,1,2024-12-03,2025-11-28,252.25,37838,0.3588709677419355
TPR,248,88,8,2,2024-12-03,2025-11-28,109.28,16392,0.3548387096774194
DELL,248,88,11,1,2024-12-03,2025-11-28,133.35,20003,0.3548387096774194
EL,248,88,10,2,2024-12-03,2025-11-28,94.07,14110,0.3548387096774194
TER,248,88,17,4,2024-12-03,2025-11-28,181.89,27283,0.3548387096774194
INTC,248,86,22,5,2024-12-03,2025-11-28,40.56,6084,0.3467741935483871
TRGP,248,86,2,0,2024-12-03,2025-11-28,175.31,26296,0.3467741935483871
FCX,248,86,8,1,2024-12-03,2025-11-28,42.98,6447,0.3467741935483871
ON,248,86,15,2,2024-12-03,2025-11-28,50.24,7536,0.3467741935483871
MRNA,248,85,26,4,2024-12-03,2025-11-28,25.98,3897,0.34274193548387094
CCL,248,85,9,1,2024-12-03,2025-11-28,25.78,3867,0.34274193548387094
SYF,248,85,2,1,2024-12-03,2025-11-28,77.36,11604,0.34274193548387094
